,0
0,0.0605
1,0.2239
2,0.1584
3,0.2618
4,0.1399
5,0.0754
6,0.1202
7,0.0237
8,0.1315
9,0.2622
10,0.2668
11,0.2639
12,0.0069
13,0.2275
14,0.2605
15,0.2527
16,0.0403
17,0.2288
18,0.2309
19,0.266
20,0.062
21,0.2355
22,0.0905
23,0.2651
24,0.0216
25,0.2349
26,0.2624
27,0.1023
28,0.2571
29,0.2563
30,0.0702
31,0.2231
32,0.2643
33,0.0216
34,0.2685
35,0.1748
36,0.2143
37,0.1368
38,0.2676
39,0.2382
40,0.1059
41,0.2471
42,0.2704
43,0.1956
44,0.1926
45,0.2599
46,0.2416
47,0.1095
48,0.2748
49,0.1107
50,0.1569
51,0.2651
52,0.079
53,0.2697
54,0.2647
55,0.2456
56,0.1515
57,0.2676
58,0.1164
59,0.2651
60,0.1817
61,0.2559
62,0.27
63,0.1303
64,0.2666
65,0.2622
66,0.0311
67,0.2697
68,0.2029
69,0.1987
70,0.2672
71,0.166
72,0.2525
73,0.271
74,0.2527
75,0.2666
76,0.2674
77,0.1586
78,0.216
79,0.2641
80,0.2525
81,0.2674
82,0.1202
83,0.266
84,0.0069
85,0.2721
86,0.2651
87,0.0987
88,0.0622
89,0.2697
90,0.2616
91,0.1061
92,0.2628
93,0.1994
94,0.2637
95,0.1756
96,0.1328
97,0.2643
98,0.266
99,0.0294
100,0.0191
101,0.2658
102,0.2641
103,0.1387
104,0.0693
105,0.266
106,0.2664
107,0.0342
108,0.1441
109,0.2628
110,0.2658
111,0.0628
112,0.0603
113,0.2668
114,0.2653
115,0.1294
116,0.2693
117,0.2508
118,0.0735
119,0.2693
120,0.2571
121,0.2057
122,0.2025
123,0.27
124,0.2693
125,0.0424
126,0.2658
127,0.1416
128,0.2639
129,0.2634
130,0.0828
131,0.2697
132,0.2662
133,0.2097
134,0.2265
135,0.2643
136,0.267
137,0.2668
138,0.1042
139,0.2695
140,0.2693
141,0.0569
142,0.2168
143,0.2401
144,0.2653
145,0.0536
146,0.2641
147,0.2034
148,0.2622
149,0.2555
150,0.2637
151,0.2433
152,0.2662
153,0.2679
154,0.2639
155,0.2342
156,0.2641
157,0.2309
158,0.2674
159,0.1237
160,0.2634
161,0.2269
162,0.2689
163,0.0439
164,0.15
165,0.2693
166,0.1861
167,0.2616
168,0.25
169,0.2023
170,0.2697
171,0.2649
172,0.2334
173,0.2672
174,0.0574
175,0.1401
176,0.27
177,0.2641
178,0.0653
179,0.1477
180,0.2693
181,0.2632
182,0.1544
183,0.1387
184,0.2645
185,0.2645
186,0.0788
187,0.1849
188,0.2496
189,0.2643
190,0.0887
191,0.229
192,0.2471
193,0.2643
194,0.1019
195,0.2601
196,0.2637
197,0.2641
198,0.1609
199,0.2502
200,0.2634
201,0.2664
202,0.2038
203,0.1479
204,0.2634
205,0.2674
206,0.0401
207,0.1706
208,0.2634
209,0.266
210,0.2023
